Region,Sub region,Country,Indicator,Year of Date.Report,Month of Date.Report,Max. Sort.Order,Value
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,2910
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2019,December,361,6468
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,1879
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2019,November,361,2970
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,2378
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2019,October,361,2688
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,1552
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,August,361,2098
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,1612
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,July,361,2677
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,3117
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,June,361,7682
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,1648
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,May,361,3843
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,1142
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,April,361,2249
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,1873
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,March,361,4543
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,1977
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,February,361,3828
Europe,Eastern Europe,POLAND,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,2045
Europe,Eastern Europe,POLAND,Cyber-related Fraud : number of offences,2020,January,361,4525
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2019,December,360,3
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2019,November,360,1
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2019,October,360,1
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cyber-related Fraud : number of offences,2020,August,361,1
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,August,360,21
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cyber-related Fraud : number of offences,2020,July,361,1
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,July,360,10
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cyber-related Fraud : number of offences,2020,June,361,40
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,June,360,56
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cyber-related Fraud : number of offences,2020,May,361,20
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,May,360,29
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cyber-related Fraud : number of offences,2020,April,361,42
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,April,360,42
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,March,360,2
Europe,Eastern Europe,REPUBLIC OF MOLDOVA,Cybercrime - number of offences,2020,February,360,1
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2019,December,361,3
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2019,November,361,3
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2019,October,361,2
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2020,June,361,1
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2020,May,361,2
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2020,April,361,0
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2020,March,361,0
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2020,February,361,2
Europe,Eastern Europe,ROMANIA,Cyber-related Fraud : number of offences,2020,January,361,1
Europe,Eastern Europe,SLOVAKIA,Cyber-related Fraud : number of offences,2019,December,361,4
Europe,Eastern Europe,SLOVAKIA,Cyber-related Fraud : number of offences,2019,November,361,2
Europe,Eastern Europe,SLOVAKIA,Cyber-related Fraud : number of offences,2019,October,361,1
Europe,Eastern Europe,SLOVAKIA,Cyber-related Fraud : number of offences,2020,March,361,0
Europe,Eastern Europe,SLOVAKIA,Cyber-related Fraud : number of offences,2020,February,361,0
Europe,Eastern Europe,SLOVAKIA,Cyber-related Fraud : number of offences,2020,January,361,1
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2019,December,361,4
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2019,November,361,9
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2019,October,361,13
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,August,361,8
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,July,361,8
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,June,361,6
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,May,361,5
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,April,361,6
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,March,361,4
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,February,361,5
Europe,Northern Europe,ICELAND,Cyber-related Fraud : number of offences,2020,January,361,7
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2019,December,361,4
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2019,December,360,32
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2019,November,361,2
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2019,November,360,25
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,1
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2019,October,361,6
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2019,October,360,29
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,August,361,15
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,August,360,38
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,July,361,11
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,July,360,46
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,1
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,June,361,4
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,June,360,49
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,May,361,12
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,May,360,53
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,April,361,4
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,April,360,45
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,March,361,13
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,March,360,43
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,February,361,5
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,February,360,46
Europe,Northern Europe,LATVIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,0
Europe,Northern Europe,LATVIA,Cyber-related Fraud : number of offences,2020,January,361,6
Europe,Northern Europe,LATVIA,Cybercrime - number of offences,2020,January,360,77
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2019,December,361,51
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2019,December,360,114
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2019,November,361,37
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2019,November,360,112
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2019,October,361,45
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2019,October,360,91
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,August,361,28
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,August,360,83
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,July,361,42
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,July,360,111
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,June,361,44
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,June,360,96
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,May,361,44
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,May,360,134
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,April,361,46
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,April,360,114
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,March,361,44
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,March,360,116
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,February,361,96
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,February,360,176
Europe,Northern Europe,LITHUANIA,Cyber-related Fraud : number of offences,2020,January,361,55
Europe,Northern Europe,LITHUANIA,Cybercrime - number of offences,2020,January,360,136
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2019,December,360,632
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2019,November,360,607
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2019,October,360,734
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,July,360,566
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,June,360,561
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,May,360,598
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,April,360,633
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,March,360,682
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,February,360,700
Europe,Northern Europe,SWEDEN,Cybercrime - number of offences,2020,January,360,1352
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,17
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2019,December,361,3
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,16
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2019,November,361,4
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,15
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2019,October,361,5
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,22
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,August,361,5
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,21
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,July,361,5
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,13
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,June,361,4
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,8
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,May,361,5
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,6
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,April,361,4
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,5
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,March,361,3
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,9
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,February,361,3
Europe,Southern Europe,ALBANIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,14
Europe,Southern Europe,ALBANIA,Cyber-related Fraud : number of offences,2020,January,361,4
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,11
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2019,December,361,5
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2019,December,360,16
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,8
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2019,November,361,3
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2019,November,360,11
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,4
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2019,October,361,2
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2019,October,360,6
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,5
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2020,April,361,6
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2020,April,360,11
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,20
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2020,March,361,4
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2020,March,360,24
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,8
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2020,February,361,3
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2020,February,360,11
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,7
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cyber-related Fraud : number of offences,2020,January,361,2
Europe,Southern Europe,BOSNIA AND HERZEGOVINA,Cybercrime - number of offences,2020,January,360,9
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,5
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2019,December,361,144
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,11
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2019,November,361,128
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,4
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2019,October,361,145
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,31
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,August,361,55
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,41
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,July,361,80
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,31
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,June,361,36
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,31
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,May,361,115
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,21
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,April,361,25
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,7
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,March,361,42
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,14
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,February,361,75
Europe,Southern Europe,CROATIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,10
Europe,Southern Europe,CROATIA,Cyber-related Fraud : number of offences,2020,January,361,86
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2019,December,361,88
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2019,November,361,92
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2019,October,361,80
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,August,361,133
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,July,361,160
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,June,361,170
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,May,361,264
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,April,361,193
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,March,361,145
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,February,361,100
Europe,Southern Europe,GREECE,Cyber-related Fraud : number of offences,2020,January,361,90
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,57
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2019,December,361,7417
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,58
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2019,November,361,7405
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,59
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2019,October,361,7097
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,61
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,August,361,5886
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,59
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,July,361,7574
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,70
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,June,361,7761
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,86
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,May,361,9288
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,62
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,April,361,7170
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,39
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,March,361,5336
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,58
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,February,361,6301
Europe,Southern Europe,ITALY,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,44
Europe,Southern Europe,ITALY,Cyber-related Fraud : number of offences,2020,January,361,6627
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,10
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2019,December,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2019,December,360,15
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,6
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2019,November,361,1
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2019,November,360,15
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,3
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2019,October,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2019,October,360,11
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,2
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,August,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,August,360,11
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,8
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,July,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,July,360,18
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,3
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,June,361,1
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,June,360,7
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,4
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,May,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,May,360,11
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,8
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,April,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,April,360,9
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,3
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,March,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,March,360,13
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,2
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,February,361,1
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,February,360,12
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,2
Europe,Southern Europe,NORTH MACEDONIA,Cyber-related Fraud : number of offences,2020,January,361,0
Europe,Southern Europe,NORTH MACEDONIA,Cybercrime - number of offences,2020,January,360,12
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,1
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2019,December,361,10
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,2
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2019,November,361,7
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,0
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2019,October,361,15
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,0
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,August,361,11
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,1
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,July,361,7
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,June,362,0
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,June,361,5
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,May,362,1
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,May,361,20
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,April,362,2
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,April,361,16
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,March,362,0
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,March,361,18
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,February,362,2
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,February,361,3
Europe,Southern Europe,SLOVENIA,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,January,362,0
Europe,Southern Europe,SLOVENIA,Cyber-related Fraud : number of offences,2020,January,361,11
Europe,Southern Europe,SPAIN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,December,362,2356
Europe,Southern Europe,SPAIN,Cyber-related Fraud : number of offences,2019,December,361,17263
Europe,Southern Europe,SPAIN,Cybercrime - number of offences,2019,December,360,19619
Europe,Southern Europe,SPAIN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,November,362,2518
Europe,Southern Europe,SPAIN,Cyber-related Fraud : number of offences,2019,November,361,14683
Europe,Southern Europe,SPAIN,Cybercrime - number of offences,2019,November,360,17201
Europe,Southern Europe,SPAIN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2019,October,362,2860
Europe,Southern Europe,SPAIN,Cyber-related Fraud : number of offences,2019,October,361,14938
Europe,Southern Europe,SPAIN,Cybercrime - number of offences,2019,October,360,17798
Europe,Southern Europe,SPAIN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,August,362,3317
Europe,Southern Europe,SPAIN,Cyber-related Fraud : number of offences,2020,August,361,17620
Europe,Southern Europe,SPAIN,Cybercrime - number of offences,2020,August,360,20937
Europe,Southern Europe,SPAIN,Cyber-related acts intended to induce fear or emotional distress : number of offences,2020,July,362,3573
Europe,Southern Europe,SPAIN,Cyber-related Fraud : number of offences,2020,July,361,19391
